"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEPREFIX";
"1";"";"HS-LU_M25K";"HS-LU_M25K";"X1";"SubD-Buchse korrigiert und verschönert";"";"";"";"";"";"";
"1";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"LED";"";"";"";"";"68";"";
"2";"";"PINHD-1X2";"1X02";"JP1, JP2";"PIN HEADER";"";"";"";"";"98";"";
"1";"";"SW_DIP-8";"EDG-08";"JP3";"DIP SWITCH";"";"";"";"";"5";"";
"1";"0.1nF";"C-EUC0805K";"C0805K";"C10";"CAPACITOR, European symbol";"";"";"";"";"52";"C";
"1";"0.47nF";"C-EUC0805K";"C0805K";"C9";"CAPACITOR, European symbol";"";"";"";"";"52";"C";
"1";"100nF";"C-EUC0805";"C0805";"C1";"CAPACITOR, European symbol";"";"";"";"";"88";"C";
"5";"100nF";"C-EUC0805K";"C0805K";"C2, C3, C4, C7, C14";"CAPACITOR, European symbol";"";"";"";"";"52";"C";
"1";"100µF";"CPOL-EUB";"PANASONIC_B";"C8";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"4";"C";
"9";"10K";"R-EU_R0805";"R0805";"R9, R19, R20, R21, R22, R23, R24, R25, R26";"RESISTOR, European symbol";"";"";"";"";"86";"R";
"3";"10nF";"C-EUC0805K";"C0805K";"C5, C6, C11";"CAPACITOR, European symbol";"";"";"";"";"52";"C";
"1";"1K";"R-TRIMMT93YA";"RTRIMT93YA";"R10";"Trimm resistor";"";"";"";"";"";"";
"1";"1nF";"C-EUC0805K";"C0805K";"C13";"CAPACITOR, European symbol";"";"";"";"";"52";"C";
"9";"20K";"R-EU_R0805";"R0805";"R11, R12, R13, R14, R15, R16, R17, R18, R27";"RESISTOR, European symbol";"";"";"";"";"86";"R";
"2";"22K";"R-EU_R0805";"R0805";"R1, R6";"RESISTOR, European symbol";"";"";"";"";"86";"R";
"1";"27K";"R-EU_R0805";"R0805";"R28";"RESISTOR, European symbol";"";"";"";"";"86";"R";
"1";"330";"R-EU_R0805";"R0805";"R7";"RESISTOR, European symbol";"";"";"";"";"86";"R";
"4";"4.7K";"R-EU_R0805";"R0805";"R2, R3, R5, R8";"RESISTOR, European symbol";"";"";"";"";"86";"R";
"1";"4.7nF";"C-EUC0805K";"C0805K";"C12";"CAPACITOR, European symbol";"";"";"";"";"52";"C";
"1";"47K";"R-EU_R0805";"R0805";"R4";"RESISTOR, European symbol";"";"";"";"";"86";"R";
"1";"56K";"R-EU_R0805";"R0805";"R29";"RESISTOR, European symbol";"";"";"";"";"86";"R";
"3";"BC817-40SMD";"BC817-40SMD";"SOT23-BEC";"T1, T2, T3";"NPN Transistor";"";"";"";"";"0";"";
"2";"CD40105";"CD40105";"DIL16";"IC1, IC2";"CD40105 16 x 4 bit FIFO";"";"";"";"";"";"";
"1";"MINI-USB_SHIELD5P2-32005-601";"MINI-USB_SHIELD5P2-32005-601";"32005-601";"USB";"MINI USB-B R/A DIP 5pol.";"";"";"unknown";"unknown";"5";"";
"1";"NE555D";"NE555D";"SO08";"IC3";"TIMER";"";"";"";"";"31";"";
"1";"PJ-313";"PJ-313";"PJ-313";"J1";"3.5mm jackdescriptionBrover Geldrop MK";"";"";"";"";"";"";
